Sun May  7 19:18:35 2017 Train the 3D-ConvNet on UT-Interaction dataset set1 from scratch! 
****************************************
current sequence is 4
****************************************
epoch: 0, step: 0, training: 0.375, loss: 1.29809e+11, testing: 0, anv: 0, best: 0 
epoch: 1, step: 20, training: 0.25, loss: 8.61774e+10, testing: 0.166667, anv: 0.0555556, best: 0.0555556 
epoch: 2, step: 40, training: 0.25, loss: 8.40839e+10, testing: 0.166667, anv: 0.111111, best: 0.111111 
epoch: 3, step: 60, training: 0.6875, loss: 3.2759e+10, testing: 0.5, anv: 0.277778, best: 0.277778 
epoch: 4, step: 80, training: 0.5625, loss: 4.15169e+10, testing: 0.333333, anv: 0.333333, best: 0.333333 
epoch: 5, step: 100, training: 0.5, loss: 3.63435e+10, testing: 0.333333, anv: 0.388889, best: 0.388889 
epoch: 6, step: 120, training: 0.75, loss: 2.17702e+10, testing: 0.166667, anv: 0.277778, best: 0.388889 
epoch: 7, step: 140, training: 0.5, loss: 2.79107e+10, testing: 0.166667, anv: 0.222222, best: 0.388889 
epoch: 8, step: 160, training: 0.8125, loss: 2.20216e+10, testing: 0.333333, anv: 0.222222, best: 0.388889 
epoch: 9, step: 180, training: 0.875, loss: 1.17372e+10, testing: 0.166667, anv: 0.222222, best: 0.388889 
epoch: 10, step: 200, training: 0.75, loss: 1.95696e+10, testing: 0.166667, anv: 0.222222, best: 0.388889 
epoch: 11, step: 220, training: 0.8125, loss: 4.52883e+09, testing: 0.166667, anv: 0.166667, best: 0.388889 
epoch: 12, step: 240, training: 0.875, loss: 9.87955e+09, testing: 0.166667, anv: 0.166667, best: 0.388889 
epoch: 13, step: 260, training: 0.6875, loss: 1.38406e+10, testing: 0.166667, anv: 0.166667, best: 0.388889 
epoch: 14, step: 280, training: 0.75, loss: 6.87748e+09, testing: 0.333333, anv: 0.222222, best: 0.388889 
epoch: 15, step: 300, training: 0.6875, loss: 1.59378e+09, testing: 0.166667, anv: 0.222222, best: 0.388889 
epoch: 16, step: 320, training: 0.6875, loss: 5.54578e+09, testing: 0.166667, anv: 0.222222, best: 0.388889 
epoch: 17, step: 340, training: 0.8125, loss: 2.90672e+09, testing: 0.166667, anv: 0.166667, best: 0.388889 
epoch: 18, step: 360, training: 0.75, loss: 7.96535e+09, testing: 0.166667, anv: 0.166667, best: 0.388889 
epoch: 19, step: 380, training: 0.8125, loss: 4.84419e+09, testing: 0.166667, anv: 0.166667, best: 0.388889 
epoch: 20, step: 400, training: 0.625, loss: 9.6268e+09, testing: 0.166667, anv: 0.166667, best: 0.388889 
epoch: 21, step: 420, training: 0.875, loss: 5.15901e+09, testing: 0.166667, anv: 0.166667, best: 0.388889 
epoch: 22, step: 440, training: 0.6875, loss: 2.81073e+09, testing: 0.166667, anv: 0.166667, best: 0.388889 
epoch: 23, step: 460, training: 0.9375, loss: 4.76696e+09, testing: 0.166667, anv: 0.166667, best: 0.388889 
epoch: 24, step: 480, training: 0.75, loss: 4.06503e+09, testing: 0.166667, anv: 0.166667, best: 0.388889 
epoch: 25, step: 500, training: 0.875, loss: 2.50248e+09, testing: 0.166667, anv: 0.166667, best: 0.388889 
epoch: 26, step: 520, training: 0.75, loss: 2.58699e+09, testing: 0.166667, anv: 0.166667, best: 0.388889 
epoch: 27, step: 540, training: 0.9375, loss: 1.33366e+09, testing: 0.333333, anv: 0.222222, best: 0.388889 
epoch: 28, step: 560, training: 0.9375, loss: 1.29437e+09, testing: 0.166667, anv: 0.222222, best: 0.388889 
epoch: 29, step: 580, training: 0.875, loss: 2.47213e+09, testing: 0.166667, anv: 0.222222, best: 0.388889 
epoch: 30, step: 600, training: 0.8125, loss: 1.84124e+09, testing: 0.166667, anv: 0.166667, best: 0.388889 
epoch: 31, step: 620, training: 0.875, loss: 1.34693e+09, testing: 0.166667, anv: 0.166667, best: 0.388889 
epoch: 32, step: 640, training: 0.9375, loss: 2.01152e+09, testing: 0.333333, anv: 0.222222, best: 0.388889 
epoch: 33, step: 660, training: 0.9375, loss: 2.52375e+09, testing: 0.333333, anv: 0.277778, best: 0.388889 
epoch: 34, step: 680, training: 1, loss: 1.13291e+09, testing: 0.333333, anv: 0.333333, best: 0.388889 
epoch: 35, step: 700, training: 0.9375, loss: 2.32401e+09, testing: 0.166667, anv: 0.277778, best: 0.388889 
epoch: 36, step: 720, training: 0.875, loss: 1.21629e+09, testing: 0.166667, anv: 0.222222, best: 0.388889 
epoch: 37, step: 740, training: 1, loss: 1.47423e+08, testing: 0.166667, anv: 0.166667, best: 0.388889 
epoch: 38, step: 760, training: 0.9375, loss: 2.25039e+09, testing: 0.166667, anv: 0.166667, best: 0.388889 
