Mon May  8 16:19:54 2017 Train the 3D-ConvNet on UT-Interaction dataset set1 from scratch! 
****************************************
current sequence is 4
****************************************
epoch: 0, step: 0, training: 0.5, loss: 1.02281e+11, testing: 0.166667, t2y: 0.5, anv: 0.0555556, best: 0.0555556 
epoch: 1, step: 20, training: 0.1875, loss: 2.74633e+10, testing: 0.166667, t2y: 0.5, anv: 0.111111, best: 0.111111 
epoch: 2, step: 40, training: 0.8125, loss: 9.1921e+09, testing: 0.5, t2y: 0.5, anv: 0.277778, best: 0.277778 
epoch: 3, step: 60, training: 0.625, loss: 4.78329e+09, testing: 0.333333, t2y: 0.833333, anv: 0.333333, best: 0.333333 
epoch: 4, step: 80, training: 0.875, loss: 2.11326e+09, testing: 0.5, t2y: 0.666667, anv: 0.444444, best: 0.444444 
epoch: 5, step: 100, training: 0.8125, loss: 1.75652e+09, testing: 0.5, t2y: 0.666667, anv: 0.444444, best: 0.444444 
epoch: 6, step: 120, training: 0.9375, loss: 6.56476e+08, testing: 0.333333, t2y: 0.833333, anv: 0.444444, best: 0.444444 
epoch: 7, step: 140, training: 0.8125, loss: 8.46609e+08, testing: 0.5, t2y: 0.666667, anv: 0.444444, best: 0.444444 
epoch: 8, step: 160, training: 1, loss: 4.39508e+08, testing: 0.5, t2y: 0.666667, anv: 0.444444, best: 0.444444 
epoch: 9, step: 180, training: 1, loss: 1.36286e+08, testing: 0.5, t2y: 0.666667, anv: 0.5, best: 0.5 
epoch: 10, step: 200, training: 1, loss: 3.52955e+07, testing: 0.5, t2y: 0.666667, anv: 0.5, best: 0.5 
epoch: 11, step: 220, training: 1, loss: 3.47744e+08, testing: 0.5, t2y: 1, anv: 0.5, best: 0.5 
epoch: 12, step: 240, training: 1, loss: 1.77541e+08, testing: 0.5, t2y: 0.833333, anv: 0.5, best: 0.5 
epoch: 13, step: 260, training: 1, loss: 3.02183e+08, testing: 0.5, t2y: 0.833333, anv: 0.5, best: 0.5 
epoch: 14, step: 280, training: 0.9375, loss: 7.00363e+07, testing: 0.5, t2y: 0.833333, anv: 0.5, best: 0.5 
epoch: 15, step: 300, training: 1, loss: 0, testing: 0.5, t2y: 0.833333, anv: 0.5, best: 0.5 
epoch: 16, step: 320, training: 1, loss: 5.79835e+07, testing: 0.5, t2y: 0.833333, anv: 0.5, best: 0.5 
epoch: 17, step: 340, training: 1, loss: 3.44333e+06, testing: 0.333333, t2y: 0.833333, anv: 0.444444, best: 0.5 
epoch: 18, step: 360, training: 1, loss: 1.34806e+06, testing: 0.5, t2y: 0.666667, anv: 0.444444, best: 0.5 
epoch: 19, step: 380, training: 1, loss: 8.62147e+07, testing: 0.5, t2y: 1, anv: 0.444444, best: 0.5 
epoch: 20, step: 400, training: 1, loss: 5.24474e+07, testing: 0.5, t2y: 0.833333, anv: 0.5, best: 0.5 
epoch: 21, step: 420, training: 1, loss: 1.43815e+08, testing: 0.5, t2y: 0.833333, anv: 0.5, best: 0.5 
epoch: 22, step: 440, training: 1, loss: 9.3953e+07, testing: 0.5, t2y: 0.833333, anv: 0.5, best: 0.5 
epoch: 23, step: 460, training: 1, loss: 0, testing: 0.333333, t2y: 0.666667, anv: 0.444444, best: 0.5 
epoch: 24, step: 480, training: 1, loss: 3.27885e+07, testing: 0.5, t2y: 0.833333, anv: 0.444444, best: 0.5 
epoch: 25, step: 500, training: 1, loss: 0, testing: 0.5, t2y: 1, anv: 0.444444, best: 0.5 
epoch: 26, step: 520, training: 1, loss: 0, testing: 0.5, t2y: 1, anv: 0.5, best: 0.5 
epoch: 27, step: 540, training: 1, loss: 0, testing: 0.333333, t2y: 0.833333, anv: 0.444444, best: 0.5 
epoch: 28, step: 560, training: 1, loss: 4.68594e+07, testing: 0.5, t2y: 0.833333, anv: 0.444444, best: 0.5 
epoch: 29, step: 580, training: 1, loss: 8.09778e+07, testing: 0.5, t2y: 0.833333, anv: 0.444444, best: 0.5 
epoch: 30, step: 600, training: 1, loss: 6.87539e+07, testing: 0.5, t2y: 0.833333, anv: 0.5, best: 0.5 
epoch: 31, step: 620, training: 1, loss: 0, testing: 0.5, t2y: 0.833333, anv: 0.5, best: 0.5 
epoch: 32, step: 640, training: 1, loss: 1.10016e+07, testing: 0.5, t2y: 0.666667, anv: 0.5, best: 0.5 
epoch: 33, step: 660, training: 1, loss: 0, testing: 0.5, t2y: 0.666667, anv: 0.5, best: 0.5 
epoch: 34, step: 680, training: 1, loss: 2.48084e+07, testing: 0.5, t2y: 0.666667, anv: 0.5, best: 0.5 
epoch: 35, step: 700, training: 1, loss: 0, testing: 0.5, t2y: 0.666667, anv: 0.5, best: 0.5 
epoch: 36, step: 720, training: 1, loss: 0, testing: 0.5, t2y: 0.666667, anv: 0.5, best: 0.5 
epoch: 37, step: 740, training: 1, loss: 2.20002e+07, testing: 0.5, t2y: 0.833333, anv: 0.5, best: 0.5 
epoch: 38, step: 760, training: 1, loss: 0, testing: 0.5, t2y: 0.666667, anv: 0.5, best: 0.5 
