Fri Jun  9 11:23:47 2017 Train the 3D-ConvNet on UT-Interaction dataset set1 from scratch! 
-------------------------------------------------------------------------
---------------------------- RUN 0 ------------------------------
-------------------------------------------------------------------------
****************************************
current sequence is 1
****************************************
seq1, epoch0, step: 0, training: 0.25, loss_tr: 2.05442, loss_t: 2.07397, testing: 0, t2y: 0.166667
seq1, epoch0, step: 10, training: 0.4375, loss_tr: 2.30163, loss_t: 1.70606, testing: 0.333333, t2y: 0.333333
seq1, epoch0, step: 20, training: 0.375, loss_tr: 1.89661, loss_t: 1.60658, testing: 0.333333, t2y: 0.666667
seq1, epoch0, step: 30, training: 0.5, loss_tr: 1.67063, loss_t: 1.47204, testing: 0.5, t2y: 0.666667
seq1, epoch0, step: 40, training: 0.25, loss_tr: 1.7914, loss_t: 1.3757, testing: 0.166667, t2y: 0.666667
seq1, epoch0, step: 50, training: 0.625, loss_tr: 1.28751, loss_t: 1.21459, testing: 0.5, t2y: 0.5
seq1, epoch0, step: 60, training: 0.6875, loss_tr: 1.33527, loss_t: 1.0448, testing: 0.666667, t2y: 1
seq1, epoch0, step: 70, training: 0.625, loss_tr: 1.22535, loss_t: 1.11752, testing: 0.666667, t2y: 0.833333
seq1, epoch1, step: 80, training: 0.625, loss_tr: 1.12759, loss_t: 0.93669, testing: 0.666667, t2y: 0.833333
seq1, epoch1, step: 90, training: 0.9375, loss_tr: 0.98993, loss_t: 0.801268, testing: 0.833333, t2y: 0.833333
seq1, epoch1, step: 100, training: 0.75, loss_tr: 1.36243, loss_t: 0.728336, testing: 0.666667, t2y: 0.833333
seq1, epoch1, step: 110, training: 0.875, loss_tr: 1.15079, loss_t: 0.617576, testing: 0.833333, t2y: 1
seq1, epoch1, step: 120, training: 0.75, loss_tr: 1.06019, loss_t: 0.459135, testing: 0.833333, t2y: 1
seq1, epoch1, step: 130, training: 0.6875, loss_tr: 0.596961, loss_t: 0.543093, testing: 0.833333, t2y: 1
seq1, epoch1, step: 140, training: 0.875, loss_tr: 0.643471, loss_t: 0.445149, testing: 0.833333, t2y: 1
seq1, epoch1, step: 150, training: 0.875, loss_tr: 0.72131, loss_t: 0.403148, testing: 1, t2y: 1
seq1, epoch2, step: 160, training: 0.75, loss_tr: 0.936524, loss_t: 0.414838, testing: 0.833333, t2y: 1
seq1, epoch2, step: 170, training: 1, loss_tr: 0.437037, loss_t: 0.336284, testing: 1, t2y: 1
seq1, epoch2, step: 180, training: 1, loss_tr: 0.674855, loss_t: 0.280972, testing: 1, t2y: 1
seq1, epoch2, step: 190, training: 1, loss_tr: 0.578652, loss_t: 0.237405, testing: 1, t2y: 1
 
****************************************
current sequence is 2
****************************************
seq2, epoch0, step: 0, training: 0.375, loss_tr: 2.89884, loss_t: 1.86315, testing: 0.166667, t2y: 0.333333
seq2, epoch0, step: 10, training: 0.3125, loss_tr: 1.90101, loss_t: 1.78548, testing: 0.333333, t2y: 0.333333
seq2, epoch0, step: 20, training: 0.5, loss_tr: 1.34777, loss_t: 1.53182, testing: 0.333333, t2y: 0.5
seq2, epoch0, step: 30, training: 0.4375, loss_tr: 1.93112, loss_t: 1.60363, testing: 0.166667, t2y: 0.5
