Wed Jun 14 02:06:32 2017 Train the 3D-ConvNet on UT-Interaction dataset set1 from scratch! 
-------------------------------------------------------------------------
---------------------------- RUN 0 ------------------------------
-------------------------------------------------------------------------
****************************************
current sequence is 1
****************************************
seq: 1, epoch: 0, step: 0, training: 0, testing: 0.0555556, loss_tr: 1.77788, loss_t: 1.87436  
seq: 1, epoch: 0, step: 10, training: 0.8125, testing: 0.722222, loss_tr: 0.822468, loss_t: 1.07092  
seq: 1, epoch: 0, step: 20, training: 0.4375, testing: 0.722222, loss_tr: 1.19092, loss_t: 0.723006  
seq: 1, epoch: 0, step: 30, training: 0.5625, testing: 0.722222, loss_tr: 0.967887, loss_t: 0.604384  
seq: 1, epoch: 0, step: 40, training: 0.625, testing: 0.722222, loss_tr: 0.87605, loss_t: 0.567905  
seq: 1, epoch: 0, step: 50, training: 0.75, testing: 0.777778, loss_tr: 0.553781, loss_t: 0.465066  
seq: 1, epoch: 0, step: 60, training: 0.5, testing: 0.777778, loss_tr: 0.99853, loss_t: 0.415858  
seq: 1, epoch: 0, step: 70, training: 0.8125, testing: 0.888889, loss_tr: 0.76755, loss_t: 0.426767  
seq: 1, epoch: 0, step: 80, training: 0.6875, testing: 0.722222, loss_tr: 0.68126, loss_t: 0.479239  
seq: 1, epoch: 0, step: 90, training: 0.8125, testing: 0.833333, loss_tr: 0.510354, loss_t: 0.352739  
seq: 1, epoch: 0, step: 100, training: 0.6875, testing: 0.777778, loss_tr: 0.526583, loss_t: 0.302993  
seq: 1, epoch: 0, step: 110, training: 1, testing: 0.833333, loss_tr: 0.168321, loss_t: 0.280035  
seq: 1, epoch: 0, step: 120, training: 0.8125, testing: 0.722222, loss_tr: 0.291459, loss_t: 0.341176  
seq: 1, epoch: 0, step: 130, training: 0.8125, testing: 0.888889, loss_tr: 0.473273, loss_t: 0.297455  
seq: 1, epoch: 0, step: 140, training: 0.8125, testing: 0.777778, loss_tr: 0.326782, loss_t: 0.237137  
seq: 1, epoch: 0, step: 150, training: 0.9375, testing: 0.833333, loss_tr: 0.177074, loss_t: 0.210539  
seq: 1, epoch: 0, step: 160, training: 0.9375, testing: 0.777778, loss_tr: 0.126328, loss_t: 0.201975  
seq: 1, epoch: 0, step: 170, training: 0.9375, testing: 0.888889, loss_tr: 0.126122, loss_t: 0.163015  
seq: 1, epoch: 0, step: 180, training: 0.75, testing: 0.777778, loss_tr: 0.29337, loss_t: 0.179999  
seq: 1, epoch: 0, step: 190, training: 1, testing: 0.944444, loss_tr: 0.0456672, loss_t: 0.143872  
seq: 1, epoch: 1, step: 200, training: 0.875, testing: 0.833333, loss_tr: 0.193487, loss_t: 0.126927  
seq: 1, epoch: 1, step: 210, training: 0.875, testing: 0.888889, loss_tr: 0.25315, loss_t: 0.108126  
seq: 1, epoch: 1, step: 220, training: 0.875, testing: 0.944444, loss_tr: 0.120783, loss_t: 0.102172  
seq: 1, epoch: 1, step: 230, training: 1, testing: 1, loss_tr: 0.101183, loss_t: 0.0900739  
seq: 1, epoch: 1, step: 240, training: 0.75, testing: 0.888889, loss_tr: 0.217488, loss_t: 0.106608  
seq: 1, epoch: 1, step: 250, training: 0.875, testing: 0.888889, loss_tr: 0.100614, loss_t: 0.0789158  
seq: 1, epoch: 1, step: 260, training: 0.9375, testing: 0.944444, loss_tr: 0.190003, loss_t: 0.0741688  
seq: 1, epoch: 1, step: 270, training: 0.8125, testing: 0.833333, loss_tr: 0.0332021, loss_t: 0.0545079  
seq: 1, epoch: 1, step: 280, training: 1, testing: 0.944444, loss_tr: 0.0300576, loss_t: 0.130674  
seq: 1, epoch: 1, step: 290, training: 0.875, testing: 0.833333, loss_tr: 0.146221, loss_t: 0.0630739  
seq: 1, epoch: 1, step: 300, training: 0.875, testing: 0.944444, loss_tr: 0.0472921, loss_t: 0.0440985  
seq: 1, epoch: 1, step: 310, training: 0.6875, testing: 0.888889, loss_tr: 0.387869, loss_t: 0.118375  
seq: 1, epoch: 1, step: 320, training: 0.6875, testing: 0.833333, loss_tr: 0.134099, loss_t: 0.0831211  
seq: 1, epoch: 1, step: 330, training: 0.9375, testing: 1, loss_tr: 0.129092, loss_t: 0.0396058  
seq: 1, epoch: 1, step: 340, training: 0.75, testing: 0.888889, loss_tr: 0.0618111, loss_t: 0.0303906  
seq: 1, epoch: 1, step: 350, training: 0.875, testing: 0.888889, loss_tr: 0.0259731, loss_t: 0.0302275  
seq: 1, epoch: 1, step: 360, training: 0.875, testing: 0.833333, loss_tr: 0.113231, loss_t: 0.0187702  
seq: 1, epoch: 1, step: 370, training: 0.9375, testing: 1, loss_tr: 0.0472166, loss_t: 0.0203242  
seq: 1, epoch: 1, step: 380, training: 0.9375, testing: 1, loss_tr: 0.0229833, loss_t: 0.0153928  
seq: 1, epoch: 2, step: 390, training: 0.8125, testing: 0.888889, loss_tr: 0.0793159, loss_t: 0.0175541  
seq: 1, epoch: 2, step: 400, training: 0.9375, testing: 1, loss_tr: 0.0111321, loss_t: 0.0247939  
seq: 1, epoch: 2, step: 410, training: 0.875, testing: 1, loss_tr: 0.158586, loss_t: 0.0377801  
seq: 1, epoch: 2, step: 420, training: 0.75, testing: 0.944444, loss_tr: 0.113367, loss_t: 0.0347444  
seq: 1, epoch: 2, step: 430, training: 0.75, testing: 1, loss_tr: 0.030046, loss_t: 0.00703647  
seq: 1, epoch: 2, step: 440, training: 0.9375, testing: 0.944444, loss_tr: 0.016777, loss_t: 0.0056369  
seq: 1, epoch: 2, step: 450, training: 1, testing: 1, loss_tr: 0.0327602, loss_t: 0.00366621  
