Tue May  9 13:14:51 2017 Train the 3D-ConvNet on UT-Interaction dataset set1 from scratch! 
****************************************
current sequence is 3
****************************************
epoch: 0, step: 0, training: 0.375, loss: 5.8521e+10, testing: 0, t2y: 0.333333, anv: 0, best: 0 
epoch: 1, step: 20, training: 0.3125, loss: 4.37827e+10, testing: 0.333333, t2y: 0.5, anv: 0.111111, best: 0.111111 
epoch: 2, step: 40, training: 0.625, loss: 1.81812e+10, testing: 0.5, t2y: 0.666667, anv: 0.277778, best: 0.277778 
epoch: 3, step: 60, training: 0.75, loss: 1.37372e+10, testing: 0.666667, t2y: 0.666667, anv: 0.5, best: 0.5 
epoch: 4, step: 80, training: 0.75, loss: 1.14225e+10, testing: 0.666667, t2y: 0.666667, anv: 0.611111, best: 0.611111 
epoch: 5, step: 100, training: 0.6875, loss: 9.28624e+09, testing: 0.5, t2y: 1, anv: 0.611111, best: 0.611111 
epoch: 6, step: 120, training: 1, loss: 1.17153e+10, testing: 0.666667, t2y: 1, anv: 0.611111, best: 0.611111 
epoch: 7, step: 140, training: 1, loss: 4.62089e+09, testing: 0.833333, t2y: 0.833333, anv: 0.666667, best: 0.666667 
epoch: 8, step: 160, training: 1, loss: 5.6502e+08, testing: 1, t2y: 1, anv: 0.833333, best: 0.833333 
epoch: 9, step: 180, training: 1, loss: 2.3863e+09, testing: 0.666667, t2y: 1, anv: 0.833333, best: 0.833333 
epoch: 10, step: 200, training: 1, loss: 3.21727e+09, testing: 0.666667, t2y: 0.833333, anv: 0.777778, best: 0.833333 
epoch: 11, step: 220, training: 1, loss: 2.60327e+09, testing: 0.666667, t2y: 0.833333, anv: 0.666667, best: 0.833333 
epoch: 12, step: 240, training: 0.9375, loss: 3.42127e+09, testing: 0.666667, t2y: 0.833333, anv: 0.666667, best: 0.833333 
epoch: 13, step: 260, training: 0.9375, loss: 3.2195e+09, testing: 0.666667, t2y: 0.833333, anv: 0.666667, best: 0.833333 
epoch: 14, step: 280, training: 1, loss: 1.38981e+09, testing: 0.666667, t2y: 0.833333, anv: 0.666667, best: 0.833333 
epoch: 15, step: 300, training: 0.9375, loss: 1.99231e+09, testing: 0.833333, t2y: 0.833333, anv: 0.722222, best: 0.833333 
epoch: 16, step: 320, training: 1, loss: 4.0998e+09, testing: 0.833333, t2y: 0.833333, anv: 0.777778, best: 0.833333 
epoch: 17, step: 340, training: 1, loss: 2.28014e+09, testing: 0.833333, t2y: 0.833333, anv: 0.833333, best: 0.833333 
epoch: 18, step: 360, training: 1, loss: 2.30244e+09, testing: 0.666667, t2y: 0.833333, anv: 0.777778, best: 0.833333 
epoch: 19, step: 380, training: 1, loss: 7.87809e+09, testing: 0.833333, t2y: 0.833333, anv: 0.777778, best: 0.833333 
epoch: 20, step: 400, training: 1, loss: 1.47824e+08, testing: 0.833333, t2y: 0.833333, anv: 0.777778, best: 0.833333 
epoch: 21, step: 420, training: 1, loss: 1.81728e+09, testing: 0.833333, t2y: 0.833333, anv: 0.833333, best: 0.833333 
epoch: 22, step: 440, training: 1, loss: 4.14337e+09, testing: 0.833333, t2y: 0.833333, anv: 0.833333, best: 0.833333 
