Sat May  6 07:39:12 2017 Train the 3D-ConvNet on UT-Interaction dataset set1 from scratch! 
****************************************
current sequence is 1
****************************************
epoch: 0, step: 0, training: 0.6875, testing: 0.806452, anv: 0.268817, best: 0.268817 
epoch: 0, step: 20, training: 0.6875, testing: 0.806452, anv: 0.537634, best: 0.537634 
epoch: 0, step: 40, training: 0.8125, testing: 0.806452, anv: 0.806452, best: 0.806452 
epoch: 0, step: 60, training: 0.75, testing: 0.806452, anv: 0.806452, best: 0.806452 
epoch: 0, step: 80, training: 0.875, testing: 0.870968, anv: 0.827957, best: 0.827957 
epoch: 0, step: 100, training: 0.625, testing: 0.83871, anv: 0.83871, best: 0.83871 
epoch: 0, step: 120, training: 0.8125, testing: 0.83871, anv: 0.849462, best: 0.849462 
epoch: 0, step: 140, training: 0.75, testing: 0.806452, anv: 0.827957, best: 0.849462 
epoch: 0, step: 160, training: 0.75, testing: 0.870968, anv: 0.83871, best: 0.849462 
epoch: 1, step: 180, training: 0.75, testing: 0.83871, anv: 0.83871, best: 0.849462 
epoch: 1, step: 200, training: 0.8125, testing: 0.806452, anv: 0.83871, best: 0.849462 
epoch: 1, step: 220, training: 0.6875, testing: 0.806452, anv: 0.817204, best: 0.849462 
epoch: 1, step: 240, training: 0.875, testing: 0.83871, anv: 0.817204, best: 0.849462 
epoch: 1, step: 260, training: 0.75, testing: 0.806452, anv: 0.817204, best: 0.849462 
epoch: 1, step: 280, training: 0.8125, testing: 0.83871, anv: 0.827957, best: 0.849462 
epoch: 1, step: 300, training: 0.8125, testing: 0.580645, anv: 0.741935, best: 0.849462 
epoch: 1, step: 320, training: 0.8125, testing: 0.806452, anv: 0.741935, best: 0.849462 
epoch: 2, step: 340, training: 1, testing: 0.806452, anv: 0.731183, best: 0.849462 
epoch: 2, step: 360, training: 0.9375, testing: 0.83871, anv: 0.817204, best: 0.849462 
epoch: 2, step: 380, training: 0.75, testing: 0.806452, anv: 0.817204, best: 0.849462 
epoch: 2, step: 400, training: 0.75, testing: 0.548387, anv: 0.731183, best: 0.849462 
epoch: 2, step: 420, training: 0.9375, testing: 0.806452, anv: 0.72043, best: 0.849462 
epoch: 2, step: 440, training: 0.875, testing: 0.806452, anv: 0.72043, best: 0.849462 
epoch: 2, step: 460, training: 0.875, testing: 0.806452, anv: 0.806452, best: 0.849462 
epoch: 2, step: 480, training: 0.8125, testing: 0.806452, anv: 0.806452, best: 0.849462 
epoch: 3, step: 500, training: 0.8125, testing: 0.83871, anv: 0.817204, best: 0.849462 
epoch: 3, step: 520, training: 0.875, testing: 0.741935, anv: 0.795699, best: 0.849462 
epoch: 3, step: 540, training: 0.75, testing: 0.83871, anv: 0.806452, best: 0.849462 
epoch: 3, step: 560, training: 0.9375, testing: 0.774194, anv: 0.784946, best: 0.849462 
epoch: 3, step: 580, training: 0.75, testing: 0.806452, anv: 0.806452, best: 0.849462 
epoch: 3, step: 600, training: 0.875, testing: 0.806452, anv: 0.795699, best: 0.849462 
epoch: 3, step: 620, training: 0.6875, testing: 0.645161, anv: 0.752688, best: 0.849462 
epoch: 3, step: 640, training: 0.9375, testing: 0.806452, anv: 0.752688, best: 0.849462 
epoch: 4, step: 660, training: 0.9375, testing: 0.806452, anv: 0.752688, best: 0.849462 
epoch: 4, step: 680, training: 0.9375, testing: 0.806452, anv: 0.806452, best: 0.849462 
epoch: 4, step: 700, training: 0.875, testing: 0.806452, anv: 0.806452, best: 0.849462 
epoch: 4, step: 720, training: 0.875, testing: 0.806452, anv: 0.806452, best: 0.849462 
epoch: 4, step: 740, training: 0.875, testing: 0.806452, anv: 0.806452, best: 0.849462 
epoch: 4, step: 760, training: 0.9375, testing: 0.806452, anv: 0.806452, best: 0.849462 
epoch: 4, step: 780, training: 0.75, testing: 0.774194, anv: 0.795699, best: 0.849462 
epoch: 4, step: 800, training: 0.6875, testing: 0.83871, anv: 0.806452, best: 0.849462 
epoch: 5, step: 820, training: 0.8125, testing: 0.806452, anv: 0.806452, best: 0.849462 
epoch: 5, step: 840, training: 0.8125, testing: 0.806452, anv: 0.817204, best: 0.849462 
epoch: 5, step: 860, training: 0.875, testing: 0.83871, anv: 0.817204, best: 0.849462 
epoch: 5, step: 880, training: 0.6875, testing: 0.806452, anv: 0.817204, best: 0.849462 
epoch: 5, step: 900, training: 1, testing: 0.806452, anv: 0.817204, best: 0.849462 
epoch: 5, step: 920, training: 0.9375, testing: 0.806452, anv: 0.806452, best: 0.849462 
