Sun May  7 18:29:10 2017 Train the 3D-ConvNet on UT-Interaction dataset set1 from scratch! 
****************************************
current sequence is 4
****************************************
epoch: 0, step: 0, training: 0.25, loss: 1.51848e+11, testing: 0.166667, anv: 0.0555556, best: 0.0555556 
epoch: 1, step: 20, training: 0.625, loss: 3.09456e+10, testing: 0.166667, anv: 0.111111, best: 0.111111 
epoch: 2, step: 40, training: 0.4375, loss: 5.80008e+09, testing: 0.166667, anv: 0.166667, best: 0.166667 
epoch: 3, step: 60, training: 0.625, loss: 3.97056e+09, testing: 0.333333, anv: 0.222222, best: 0.222222 
epoch: 4, step: 80, training: 0.5625, loss: 2.88574e+09, testing: 0.333333, anv: 0.277778, best: 0.277778 
epoch: 5, step: 100, training: 0.75, loss: 9.38784e+08, testing: 0.333333, anv: 0.333333, best: 0.333333 
epoch: 6, step: 120, training: 0.8125, loss: 6.49646e+08, testing: 0.333333, anv: 0.333333, best: 0.333333 
epoch: 7, step: 140, training: 0.875, loss: 7.46942e+08, testing: 0.333333, anv: 0.333333, best: 0.333333 
epoch: 8, step: 160, training: 0.875, loss: 6.57682e+08, testing: 0.333333, anv: 0.333333, best: 0.333333 
epoch: 9, step: 180, training: 1, loss: 4.30122e+08, testing: 0.333333, anv: 0.333333, best: 0.333333 
epoch: 10, step: 200, training: 0.875, loss: 3.43002e+08, testing: 0.333333, anv: 0.333333, best: 0.333333 
epoch: 11, step: 220, training: 0.9375, loss: 6.24832e+08, testing: 0.666667, anv: 0.444444, best: 0.444444 
epoch: 12, step: 240, training: 0.9375, loss: 3.40752e+08, testing: 0.5, anv: 0.5, best: 0.5 
epoch: 13, step: 260, training: 1, loss: 2.05368e+08, testing: 0.666667, anv: 0.611111, best: 0.611111 
epoch: 14, step: 280, training: 1, loss: 1.32761e+08, testing: 0.666667, anv: 0.611111, best: 0.611111 
epoch: 15, step: 300, training: 1, loss: 2.90435e+08, testing: 0.5, anv: 0.611111, best: 0.611111 
epoch: 16, step: 320, training: 1, loss: 2.51153e+08, testing: 0.5, anv: 0.555556, best: 0.611111 
epoch: 17, step: 340, training: 1, loss: 8.18642e+07, testing: 0.333333, anv: 0.444444, best: 0.611111 
epoch: 18, step: 360, training: 1, loss: 0, testing: 0.333333, anv: 0.388889, best: 0.611111 
epoch: 19, step: 380, training: 1, loss: 0, testing: 0.5, anv: 0.388889, best: 0.611111 
epoch: 20, step: 400, training: 1, loss: 8.70449e+07, testing: 0.5, anv: 0.444444, best: 0.611111 
epoch: 21, step: 420, training: 1, loss: 0, testing: 0.166667, anv: 0.388889, best: 0.611111 
epoch: 22, step: 440, training: 1, loss: 1.13345e+08, testing: 0.5, anv: 0.388889, best: 0.611111 
epoch: 23, step: 460, training: 1, loss: 0, testing: 0.166667, anv: 0.277778, best: 0.611111 
epoch: 24, step: 480, training: 1, loss: 0, testing: 0.5, anv: 0.388889, best: 0.611111 
epoch: 25, step: 500, training: 1, loss: 7.16251e+07, testing: 0.166667, anv: 0.277778, best: 0.611111 
epoch: 26, step: 520, training: 1, loss: 5.61487e+07, testing: 0.333333, anv: 0.333333, best: 0.611111 
epoch: 27, step: 540, training: 1, loss: 6.39322e+07, testing: 0.666667, anv: 0.388889, best: 0.611111 
epoch: 28, step: 560, training: 1, loss: 94552, testing: 0.5, anv: 0.5, best: 0.611111 
epoch: 29, step: 580, training: 1, loss: 2.13102e+06, testing: 0.333333, anv: 0.5, best: 0.611111 
epoch: 30, step: 600, training: 1, loss: 0, testing: 0.333333, anv: 0.388889, best: 0.611111 
epoch: 31, step: 620, training: 1, loss: 0, testing: 0.333333, anv: 0.333333, best: 0.611111 
epoch: 32, step: 640, training: 1, loss: 5.30314e+06, testing: 0.5, anv: 0.388889, best: 0.611111 
epoch: 33, step: 660, training: 1, loss: 1.35416e+07, testing: 0.333333, anv: 0.388889, best: 0.611111 
epoch: 34, step: 680, training: 1, loss: 0, testing: 0.333333, anv: 0.388889, best: 0.611111 
epoch: 35, step: 700, training: 1, loss: 0, testing: 0.333333, anv: 0.333333, best: 0.611111 
epoch: 36, step: 720, training: 1, loss: 1.98325e+06, testing: 0.5, anv: 0.388889, best: 0.611111 
epoch: 37, step: 740, training: 1, loss: 0, testing: 0.5, anv: 0.444444, best: 0.611111 
epoch: 38, step: 760, training: 1, loss: 0, testing: 0.333333, anv: 0.444444, best: 0.611111 
epoch: 39, step: 780, training: 1, loss: 0, testing: 0.5, anv: 0.444444, best: 0.611111 
epoch: 40, step: 800, training: 1, loss: 1.00632e+08, testing: 0.5, anv: 0.444444, best: 0.611111 
epoch: 41, step: 820, training: 1, loss: 0, testing: 0.333333, anv: 0.444444, best: 0.611111 
epoch: 42, step: 840, training: 1, loss: 0, testing: 0.5, anv: 0.444444, best: 0.611111 
epoch: 43, step: 860, training: 1, loss: 9.62242e+06, testing: 0.333333, anv: 0.388889, best: 0.611111 
epoch: 44, step: 880, training: 1, loss: 8.0492e+07, testing: 0.166667, anv: 0.333333, best: 0.611111 
epoch: 45, step: 900, training: 1, loss: 0, testing: 0.333333, anv: 0.277778, best: 0.611111 
epoch: 46, step: 920, training: 1, loss: 1.50614e+08, testing: 0.5, anv: 0.333333, best: 0.611111 
epoch: 47, step: 940, training: 1, loss: 0, testing: 0.333333, anv: 0.388889, best: 0.611111 
epoch: 48, step: 960, training: 1, loss: 2.78792e+07, testing: 0.333333, anv: 0.388889, best: 0.611111 
epoch: 49, step: 980, training: 1, loss: 0, testing: 0.333333, anv: 0.333333, best: 0.611111 
epoch: 50, step: 1000, training: 1, loss: 0, testing: 0.166667, anv: 0.277778, best: 0.611111 
epoch: 51, step: 1020, training: 1, loss: 2.0347e+06, testing: 0.166667, anv: 0.222222, best: 0.611111 
epoch: 52, step: 1040, training: 1, loss: 0, testing: 0.166667, anv: 0.166667, best: 0.611111 
epoch: 53, step: 1060, training: 1, loss: 3.01786e+06, testing: 0.5, anv: 0.277778, best: 0.611111 
epoch: 54, step: 1080, training: 1, loss: 0, testing: 0.333333, anv: 0.333333, best: 0.611111 
epoch: 55, step: 1100, training: 1, loss: 0, testing: 0.5, anv: 0.444444, best: 0.611111 
