Tue Apr 11 15:19:24 2017 Train the 3D-ConvNet on UT-Interaction dataset set1 from scratch! 
****************************************
current sequence is 1
****************************************
epoch: 0, step: 0, training: 0, testing: 0.166667, anv: 0.0555556, best: 0.0555556 
epoch: 2, step: 40, training: 0.4375, testing: 0.5, anv: 0.222222, best: 0.222222 
epoch: 4, step: 80, training: 0.625, testing: 0.5, anv: 0.388889, best: 0.388889 
epoch: 6, step: 120, training: 0.9375, testing: 0.666667, anv: 0.555556, best: 0.555556 
epoch: 8, step: 160, training: 0.8125, testing: 0.666667, anv: 0.611111, best: 0.611111 
epoch: 10, step: 200, training: 0.9375, testing: 0.666667, anv: 0.666667, best: 0.666667 
epoch: 12, step: 240, training: 0.9375, testing: 0.666667, anv: 0.666667, best: 0.666667 
epoch: 14, step: 280, training: 0.8125, testing: 0.666667, anv: 0.666667, best: 0.666667 
epoch: 16, step: 320, training: 0.9375, testing: 0.666667, anv: 0.666667, best: 0.666667 
epoch: 18, step: 360, training: 1, testing: 0.666667, anv: 0.666667, best: 0.666667 
epoch: 21, step: 400, training: 1, testing: 0.666667, anv: 0.666667, best: 0.666667 
epoch: 23, step: 440, training: 1, testing: 0.833333, anv: 0.722222, best: 0.722222 
epoch: 25, step: 480, training: 0.9375, testing: 0.666667, anv: 0.722222, best: 0.722222 
epoch: 27, step: 520, training: 1, testing: 0.666667, anv: 0.722222, best: 0.722222 
epoch: 29, step: 560, training: 1, testing: 0.666667, anv: 0.666667, best: 0.722222 
epoch: 31, step: 600, training: 1, testing: 0.666667, anv: 0.666667, best: 0.722222 
epoch: 33, step: 640, training: 1, testing: 0.666667, anv: 0.666667, best: 0.722222 
epoch: 35, step: 680, training: 0.9375, testing: 0.666667, anv: 0.666667, best: 0.722222 
epoch: 37, step: 720, training: 1, testing: 0.666667, anv: 0.666667, best: 0.722222 
epoch: 40, step: 760, training: 0.9375, testing: 0.666667, anv: 0.666667, best: 0.722222 
epoch: 42, step: 800, training: 0.9375, testing: 0.666667, anv: 0.666667, best: 0.722222 
epoch: 44, step: 840, training: 0.9375, testing: 0.666667, anv: 0.666667, best: 0.722222 
epoch: 46, step: 880, training: 0.9375, testing: 0.666667, anv: 0.666667, best: 0.722222 
epoch: 48, step: 920, training: 1, testing: 0.666667, anv: 0.666667, best: 0.722222 
epoch: 50, step: 960, training: 1, testing: 0.666667, anv: 0.666667, best: 0.722222 
epoch: 52, step: 1000, training: 0.9375, testing: 0.666667, anv: 0.666667, best: 0.722222 
epoch: 54, step: 1040, training: 0.9375, testing: 0.666667, anv: 0.666667, best: 0.722222 
epoch: 56, step: 1080, training: 1, testing: 0.666667, anv: 0.666667, best: 0.722222 
epoch: 58, step: 1120, training: 1, testing: 0.666667, anv: 0.666667, best: 0.722222 
epoch: 61, step: 1160, training: 1, testing: 0.666667, anv: 0.666667, best: 0.722222 
epoch: 63, step: 1200, training: 1, testing: 0.666667, anv: 0.666667, best: 0.722222 
epoch: 65, step: 1240, training: 1, testing: 0.666667, anv: 0.666667, best: 0.722222 
epoch: 67, step: 1280, training: 1, testing: 0.666667, anv: 0.666667, best: 0.722222 
epoch: 69, step: 1320, training: 1, testing: 0.666667, anv: 0.666667, best: 0.722222 
epoch: 71, step: 1360, training: 0.9375, testing: 0.666667, anv: 0.666667, best: 0.722222 
epoch: 73, step: 1400, training: 1, testing: 0.666667, anv: 0.666667, best: 0.722222 
epoch: 75, step: 1440, training: 1, testing: 0.666667, anv: 0.666667, best: 0.722222 
epoch: 77, step: 1480, training: 1, testing: 0.666667, anv: 0.666667, best: 0.722222 
epoch: 80, step: 1520, training: 0.9375, testing: 0.666667, anv: 0.666667, best: 0.722222 
