Thu May 11 13:11:22 2017 Finetune the dual-nets model with two independent feature variables on UT-Interaction set1! 
****************************************
current sequence is 1
****************************************
Epoch: 0, step: 0, training: 0.4375, loss: 70849.5, testing: 0.166667, top2: 0.333333, anv: 0.0555556, best: 0.0555556 
Epoch: 0, step: 20, training: 0.3125, loss: 1875.09, testing: 0.166667, top2: 0.333333, anv: 0.111111, best: 0.111111 
Epoch: 1, step: 40, training: 0.25, loss: 462.023, testing: 0.166667, top2: 0.5, anv: 0.166667, best: 0.166667 
Epoch: 2, step: 60, training: 0.6875, loss: 151.308, testing: 0.166667, top2: 0.666667, anv: 0.166667, best: 0.166667 
Epoch: 3, step: 80, training: 0.625, loss: 59.2735, testing: 0.5, top2: 0.5, anv: 0.277778, best: 0.277778 
Epoch: 4, step: 100, training: 0.625, loss: 45.53, testing: 0.333333, top2: 0.833333, anv: 0.333333, best: 0.333333 
Epoch: 5, step: 120, training: 0.8125, loss: 26.8158, testing: 0.5, top2: 0.833333, anv: 0.444444, best: 0.444444 
Epoch: 6, step: 140, training: 0.875, loss: 15.8148, testing: 0.666667, top2: 0.833333, anv: 0.5, best: 0.5 
Epoch: 7, step: 160, training: 0.9375, loss: 5.44774, testing: 0.833333, top2: 1, anv: 0.666667, best: 0.666667 
Epoch: 8, step: 180, training: 0.8125, loss: 18.6835, testing: 0.333333, top2: 0.833333, anv: 0.611111, best: 0.666667 
Epoch: 9, step: 200, training: 1, loss: 9.28434, testing: 0.833333, top2: 0.833333, anv: 0.666667, best: 0.666667 
Epoch: 10, step: 220, training: 0.875, loss: 10.989, testing: 0.833333, top2: 0.833333, anv: 0.666667, best: 0.666667 
Epoch: 11, step: 240, training: 0.9375, loss: 12.4176, testing: 0.833333, top2: 1, anv: 0.833333, best: 0.833333 
Epoch: 12, step: 260, training: 0.8125, loss: 17.8674, testing: 0.833333, top2: 0.833333, anv: 0.833333, best: 0.833333 
Epoch: 13, step: 280, training: 1, loss: 15.829, testing: 0.666667, top2: 1, anv: 0.777778, best: 0.833333 
Epoch: 14, step: 300, training: 1, loss: 14.8979, testing: 0.666667, top2: 1, anv: 0.722222, best: 0.833333 
Epoch: 15, step: 320, training: 1, loss: 9.86022, testing: 0.666667, top2: 1, anv: 0.666667, best: 0.833333 
Epoch: 16, step: 340, training: 0.9375, loss: 9.74504, testing: 0.666667, top2: 1, anv: 0.666667, best: 0.833333 
Epoch: 17, step: 360, training: 1, loss: 6.43756, testing: 1, top2: 1, anv: 0.777778, best: 0.833333 
Epoch: 18, step: 380, training: 1, loss: 8.63113, testing: 1, top2: 1, anv: 0.888889, best: 0.888889 
Epoch: 19, step: 400, training: 0.9375, loss: 10.1033, testing: 0.666667, top2: 1, anv: 0.888889, best: 0.888889 
Epoch: 20, step: 420, training: 1, loss: 12.3765, testing: 0.833333, top2: 1, anv: 0.833333, best: 0.888889 
Epoch: 21, step: 440, training: 1, loss: 10.2684, testing: 1, top2: 1, anv: 0.833333, best: 0.888889 
Epoch: 22, step: 460, training: 1, loss: 10.407, testing: 0.833333, top2: 1, anv: 0.888889, best: 0.888889 
Epoch: 23, step: 480, training: 0.9375, loss: 11.5955, testing: 1, top2: 1, anv: 0.944444, best: 0.944444 
Epoch: 24, step: 500, training: 1, loss: 10.9573, testing: 1, top2: 1, anv: 0.944444, best: 0.944444 
Epoch: 25, step: 520, training: 1, loss: 11.1201, testing: 1, top2: 1, anv: 1, best: 1 
 The training is finished at Thu May 11 13:23:01 2017 
****************************************
current sequence is 2
****************************************
Epoch: 0, step: 0, training: 0.1875, loss: 26741, testing: 0.166667, top2: 0.333333, anv: 0.0555556, best: 0.0555556 
Epoch: 0, step: 20, training: 0.25, loss: 1248.5, testing: 0.166667, top2: 0.5, anv: 0.111111, best: 0.111111 
Epoch: 1, step: 40, training: 0.3125, loss: 132.69, testing: 0.166667, top2: 0.666667, anv: 0.166667, best: 0.166667 
Epoch: 2, step: 60, training: 0.5625, loss: 117.542, testing: 0.166667, top2: 0.5, anv: 0.166667, best: 0.166667 
Epoch: 3, step: 80, training: 0.625, loss: 53.0497, testing: 0.333333, top2: 0.666667, anv: 0.222222, best: 0.222222 
Epoch: 4, step: 100, training: 0.5, loss: 43.6761, testing: 0.333333, top2: 0.5, anv: 0.277778, best: 0.277778 
Epoch: 5, step: 120, training: 0.5, loss: 43.0333, testing: 0.333333, top2: 0.5, anv: 0.333333, best: 0.333333 
Epoch: 6, step: 140, training: 0.625, loss: 26.9532, testing: 0.5, top2: 0.666667, anv: 0.388889, best: 0.388889 
Epoch: 7, step: 160, training: 0.75, loss: 12.7918, testing: 0.5, top2: 0.666667, anv: 0.444444, best: 0.444444 
Epoch: 8, step: 180, training: 0.6875, loss: 13.0466, testing: 0.666667, top2: 0.666667, anv: 0.555556, best: 0.555556 
Epoch: 9, step: 200, training: 0.8125, loss: 17.0133, testing: 0.5, top2: 0.666667, anv: 0.555556, best: 0.555556 
Epoch: 10, step: 220, training: 0.75, loss: 13.2292, testing: 0.5, top2: 0.833333, anv: 0.555556, best: 0.555556 
Epoch: 11, step: 240, training: 0.9375, loss: 13.7695, testing: 0.333333, top2: 0.833333, anv: 0.444444, best: 0.555556 
Epoch: 12, step: 260, training: 0.875, loss: 13.5536, testing: 0.666667, top2: 0.666667, anv: 0.5, best: 0.555556 
Epoch: 13, step: 280, training: 0.875, loss: 13.7078, testing: 0.833333, top2: 0.833333, anv: 0.611111, best: 0.611111 
Epoch: 14, step: 300, training: 0.875, loss: 15.6203, testing: 0.5, top2: 0.833333, anv: 0.666667, best: 0.666667 
Epoch: 15, step: 320, training: 1, loss: 14.7138, testing: 0.5, top2: 0.666667, anv: 0.611111, best: 0.666667 
Epoch: 16, step: 340, training: 1, loss: 11.1974, testing: 0.666667, top2: 0.833333, anv: 0.555556, best: 0.666667 
Epoch: 17, step: 360, training: 1, loss: 12.8243, testing: 0.666667, top2: 0.833333, anv: 0.611111, best: 0.666667 
Epoch: 18, step: 380, training: 1, loss: 12.5464, testing: 0.666667, top2: 0.833333, anv: 0.666667, best: 0.666667 
Epoch: 19, step: 400, training: 0.9375, loss: 13.9428, testing: 0.5, top2: 0.833333, anv: 0.611111, best: 0.666667 
Epoch: 20, step: 420, training: 1, loss: 11.5499, testing: 0.833333, top2: 0.833333, anv: 0.666667, best: 0.666667 
Epoch: 21, step: 440, training: 1, loss: 10.4934, testing: 0.666667, top2: 0.833333, anv: 0.666667, best: 0.666667 
Epoch: 22, step: 460, training: 0.9375, loss: 11.6467, testing: 0.666667, top2: 0.666667, anv: 0.722222, best: 0.722222 
Epoch: 23, step: 480, training: 1, loss: 12.0626, testing: 0.5, top2: 0.833333, anv: 0.611111, best: 0.722222 
Epoch: 24, step: 500, training: 1, loss: 11.813, testing: 0.5, top2: 0.833333, anv: 0.555556, best: 0.722222 
Epoch: 25, step: 520, training: 1, loss: 10.2942, testing: 0.666667, top2: 0.833333, anv: 0.555556, best: 0.722222 
Epoch: 26, step: 540, training: 1, loss: 11.6839, testing: 0.5, top2: 0.833333, anv: 0.555556, best: 0.722222 
Epoch: 27, step: 560, training: 1, loss: 12.299, testing: 0.5, top2: 0.666667, anv: 0.555556, best: 0.722222 
Epoch: 28, step: 580, training: 1, loss: 11.2883, testing: 0.666667, top2: 0.833333, anv: 0.555556, best: 0.722222 
Epoch: 29, step: 600, training: 1, loss: 11.5558, testing: 0.666667, top2: 0.833333, anv: 0.611111, best: 0.722222 
Epoch: 30, step: 620, training: 1, loss: 12.612, testing: 0.666667, top2: 0.833333, anv: 0.666667, best: 0.722222 
 The training is finished at Thu May 11 13:36:15 2017 
****************************************
current sequence is 3
****************************************
Epoch: 0, step: 0, training: 0.1875, loss: 22331.4, testing: 0.166667, top2: 0.333333, anv: 0.0555556, best: 0.0555556 
Epoch: 0, step: 20, training: 0.1875, loss: 1582.95, testing: 0.166667, top2: 0.333333, anv: 0.111111, best: 0.111111 
Epoch: 1, step: 40, training: 0.4375, loss: 365.214, testing: 0.333333, top2: 0.333333, anv: 0.222222, best: 0.222222 
Epoch: 2, step: 60, training: 0.5625, loss: 95.1766, testing: 0.333333, top2: 0.5, anv: 0.277778, best: 0.277778 
Epoch: 3, step: 80, training: 0.375, loss: 76.9494, testing: 0.333333, top2: 0.5, anv: 0.333333, best: 0.333333 
Epoch: 4, step: 100, training: 0.875, loss: 30.1058, testing: 0.5, top2: 0.833333, anv: 0.388889, best: 0.388889 
Epoch: 5, step: 120, training: 0.5625, loss: 24.8199, testing: 0.333333, top2: 0.666667, anv: 0.388889, best: 0.388889 
Epoch: 6, step: 140, training: 0.875, loss: 10.2458, testing: 0.666667, top2: 0.666667, anv: 0.5, best: 0.5 
Epoch: 7, step: 160, training: 0.9375, loss: 5.27445, testing: 0.833333, top2: 0.833333, anv: 0.611111, best: 0.611111 
Epoch: 8, step: 180, training: 0.875, loss: 20.1776, testing: 0.333333, top2: 0.5, anv: 0.611111, best: 0.611111 
Epoch: 9, step: 200, training: 0.875, loss: 13.2595, testing: 0.5, top2: 0.833333, anv: 0.555556, best: 0.611111 
Epoch: 10, step: 220, training: 0.8125, loss: 8.67688, testing: 0.333333, top2: 0.666667, anv: 0.388889, best: 0.611111 
Epoch: 11, step: 240, training: 0.875, loss: 8.78296, testing: 0.333333, top2: 0.5, anv: 0.388889, best: 0.611111 
Epoch: 12, step: 260, training: 0.9375, loss: 13.6553, testing: 0.5, top2: 0.5, anv: 0.388889, best: 0.611111 
Epoch: 13, step: 280, training: 1, loss: 5.28042, testing: 0.5, top2: 0.666667, anv: 0.444444, best: 0.611111 
Epoch: 14, step: 300, training: 1, loss: 7.12282, testing: 0.666667, top2: 0.666667, anv: 0.555556, best: 0.611111 
Epoch: 15, step: 320, training: 1, loss: 3.05633, testing: 0.666667, top2: 0.833333, anv: 0.611111, best: 0.611111 
